id,story,generated_story,bleu,perplexity,bert_precision,bert_recall,bert_f1,rouge1,rouge2,rougeL
0,"Ben is a dog. He likes to run and play. He has a nice home and a nice family. They give him food and water and hugs. Ben is happy. One day, Ben sees a bone in the yard. It is big and white and smells good. Ben wants the bone. He runs to the bone and picks it up with his mouth. He is very happy. But then, he sees another dog. The dog is big and black and has sharp teeth. The dog wants the bone too. He growls at Ben and shows his teeth. Ben is scared. Ben thinks, ""I need this bone. It is mine. I found it. I do not want to share."" He holds the bone tight and growls back at the dog. He is not nice. The dog thinks, ""I need this bone. It looks good. I am hungry. I do not care who found it. I want to take it."" He jumps at Ben and tries to bite him. He is not nice. Ben and the dog fight over the bone. They bite and scratch and bark. They are not happy. They are angry and hurt. Then, Ben's family hears the noise. They come out and see Ben and the dog fighting. They are not happy. They are worried and sad. They shout, ""Stop! Stop! You are bad dogs! You are not nice! Drop the bone! Drop it now!"" Ben and the dog hear the family. They are scared. They drop the bone and run away. They are not happy. They are ashamed and sorry. The family picks up the bone and throws it away. They say, ""This bone is not good. It makes dogs fight. It makes dogs not nice. We do not want this bone. We want nice dogs."" They hug Ben and check him for wounds. They say, ""We love you, Ben. You are a nice dog. But you need to share. You need to be kind. You need to make friends. That is what makes you happy."" Ben licks their faces and wags his tail. He says, ""I love you, too. You are a nice family. I am sorry. I will share. I will be kind. I will make friends. That is what makes me happy.""","Ben is a dog. He likes to run and play. He has big red eyes and a big nose. One day, he finds a bone on the ground. He thinks it is big and shiny. He wants to touch it. Ben is sad. He does not know what to do. He walks to his friend, a little girl named Lily. ""Let's go to the park and see what is on the ground,"" Ben says. Lily nods. She takes a small piece of bone and puts it on her back. ""Look, Ben! This bone is big and shiny!"" she says. Ben does not understand what she means. He runs around the park with the bone. He sees a big dog. The dog is very nice. ""Look, Lily!"" Ben says. ""This bone is big and shiny!"" Lily smiles. She puts the bone on her back. ""That is nice, Ben. I love you!"" she says. Ben does not understand what she means. He runs back to his friend, Lily. ""Good job, Lily. You found a nice bone!"" he says. They go to the park and look at the big dog. They see lots of big trees and animals. ""Look, Ben! This bone is big and shiny!""",0.0580342226613166,5.913180351257324,0.67498195,0.6382985,0.6561279,0.4356775300171527,0.16179001721170394,0.22984562607204115
1,"Anna and her mom are going on a big plane to see grandma. Anna is very happy. She has a new backpack with a lot of colorful stickers. Mom has a big bag with clothes and books. ""Anna, do you have your passport?"" mom asks. A passport is a small book with Anna's name and picture. It tells the people at the airport who she is and where she is going. ""Yes, mom, I have it right here,"" Anna says. She holds her passport in her hand. She likes to look at it. It has a blue cover and a shiny sticker. ""Good girl. Now, let's go to the gate. We have to show our passports to the lady there. She will give us tickets for the plane,"" mom says. She holds Anna's hand and they walk to the gate. ""Hello, can I see your passports, please?"" the lady at the gate says. She has a red uniform and a big smile. ""Here you go,"" mom says. She gives the lady her passport and Anna's passport. ""Thank you. You are going to grandma's country. How exciting! Here are your tickets. Have a nice flight,"" the lady says. She gives mom and Anna two colorful tickets with numbers and letters. ""Thank you. Come on, Anna, let's go to the plane. It's time to fly,"" mom says. ""Yay! I can't wait to see grandma. And the plane. And the clouds. And the birds. And the..."" Anna says. She holds her passport and her ticket in her backpack. She is very happy. She and mom go to the plane. They are ready for their adventure.","Anna and her mom are going on a big plane with a man who is very nice. They are going to the airport. Anna wants to go to the airport with her mom. She wants to go to the airport with her dad. She is very excited. Anna's mom says, ""Anna, you can go to the airport with me. I am waiting for you."" Anna wants to go to the airport with her dad. She holds her passport in her hand and hands it to her dad. They go to the gate. Anna's dad says, ""Anna, can we go to the airport now?"" Anna says, ""Yes, please."" They go to the airport. Anna's dad holds her passport and puts it in his hand. He says, ""Anna, I want to hold your passport."" Anna's dad holds her passport and gives her a big hug. They go to the airport. They are very happy. They see a big sign with a big picture of a man holding a passport. Anna is very proud of herself. She says, ""I hold my passport with my dad."" She smiles and says, ""Thank you, Dad!"" Her dad smiles and says, ""Thank you, Anna! You are so nice."" Anna and her dad are happy.",0.1193698200873178,5.913180351257324,0.7156795,0.6406201,0.67607284,0.5824847250509165,0.2167689161554192,0.25661914460285135
2,"One day, a girl named Lily went to the park with her mom. Lily loved to play on the slide. She climbed up and slid down over and over again. While Lily was playing, a man came and left his piano on the grass. He was careless and didn't watch it. Lily's mom saw the piano and told Lily to be careful. She said, ""Don't go near the piano, Lily. It might fall on you."" Lily played on the slide again, but suddenly she heard a loud noise. The piano fell and hit the slide. Lily was scared and cried. Her mom hugged her and said, ""I told you to be careful, Lily."" From that day on, Lily never played on the slide again. She remembered the piano and how important it is to be careful.","One day, a girl named Lily went to the park with her mommy. They saw a big slide and wanted to play it. Lily's mommy said, ""Let's go to the slide and play the piano."" Lily and her mommy went to the piano. They played the piano and sang songs. Lily's mommy said, ""Let's play the piano again."" They started to slide down the slide. They saw a big slide and wanted to play it. Lily's mommy said, ""Let's slide down the slide and play the piano."" They did and the piano started to slide down the slide. They were so happy. They played the piano and sang songs. Lily's mommy said, ""Let's play the piano again."" They played the piano and sang songs. They had so much fun playing the piano. But then, something unexpected happened. The piano stopped. It started to slide down the slide too. The slide fell down and landed on a big rock. The rock broke into pieces. Lily's mommy and her mommy were very sad. They said, ""Oh no, the piano is not broken. We need to fix it."" Lily's mommy hugged them and said, ""Let's all go home and play the",0.10040719434188737,5.913180351257324,0.66628015,0.6485239,0.6572822,0.42528735632183906,0.15028901734104047,0.28735632183908044
3,"Once upon a time, there was a little girl named Lily. She lived in a house with a big door. One day, her mom told her to go check the mail. Lily ran to the door and opened it. She saw a letter inside the mailbox. The letter was from her grandma. It said that she missed Lily very much and wanted to visit her soon. Lily was happy to hear that. She went back inside and showed the letter to her mom. Her mom read it and smiled. Later that day, Lily went outside to play. The sun was shining, but the wind was harsh. She put on a warm jacket and went to the park. She played on the swings and the slide. She even made a new friend. When it was time to go home, Lily remembered the letter from her grandma. She couldn't wait for her to visit.","Once upon a time, there was a little girl named Lily. She loved to play outside in the park. One day, she saw a big box on the ground. She picked it up and opened it. Inside, there was a letter on the ground. The letter said, ""Hello, little one! I'm sorry for the pain you caused. I'm sorry that I made you feel bad."" Lily felt bad for the letter. She wanted to show it to her friend, Timmy. So, she went to Timmy's house and showed him the letter. Timmy was very happy. Timmy told Lily that he had an idea. He told Lily that he wanted to mail the letter back to Timmy. Lily felt happy too. She knew that if she was honest, she could help Timmy feel better. From that day on, Lily and Timmy were the best of friends. They were the best of friends because they knew that they could always help each other. And they lived happily ever after. The end. From that day on, Lily and Timmy learned that it's important to be honest and make good friends. And they learned that it's important to always be honest and make good friends. And they learned that it's important to always",0.10229053903388931,5.913180351257324,0.5836282,0.64961106,0.61485445,0.5217391304347826,0.16393442622950818,0.2826086956521739
4,"Once upon a time, there was a bald bird named Bob. Bob was different from other birds because he had no feathers. He was all black and very sad. Bob wanted to be like the other birds and fly high in the sky. One day, Bob tried to fly but he could not. He felt bad and began to suffer. He did not like being different. He wanted to have feathers and be like his friends. Bob cried and cried. Then, a kind bird named Betty saw Bob. She felt sad for him. Betty had an idea. She found some black feathers and gave them to Bob. Bob put the feathers on and now he could fly. Bob was so happy. He thanked Betty and they became best friends. They flew high in the sky together, and Bob never felt sad again.","Once upon a time, there was a bald bird named Bobo. Bobo loved to fly high in the sky. One day, Bobo saw a big black hole in the sky. He was scared, but he wanted to fly away. Bobo tried to fly away, but he couldn't. He fell down, and he hurt his leg. The next day, Bobo's friend, a little girl named Lily, came over to play. She saw Bobo hurt and asked him what was wrong. Bobo said he was bald, but Lily didn't believe it. She said, ""Bobo, you hurt your leg. It hurts like that."" Bobo felt bad for Lily, and he felt better. From that day on, Bobo learned to always listen to his friend and always try to fly away from danger. He learned that sometimes it's good to be brave and try new things, but it's also important to listen to others who help you. And from that day on, Bobo learned that even if he hurts himself, he still needs help from his friends and family. And he learned that even though he hurts, he still has hope and can make the world a better place. And from that day on, Bobo and Lily always",0.10603067929387634,6.896024227142334,0.5877435,0.661623,0.62249887,0.4045584045584046,0.15472779369627507,0.24501424501424499
5,"Tommy wanted to watch TV after dinner. He liked the shows with animals and cars. But Mommy said no. She said it was too late and he had to go to bed. ""But Mommy, please, just one show!"" Tommy begged. He made a sad face. ""No, Tommy, I don't permit you to watch TV now. It is dark outside and you need to sleep. TV is not good for your eyes and your brain at night. You can watch TV tomorrow, but now you have to brush your teeth and put on your pajamas."" Mommy said firmly. Tommy was angry and sad. He did not want to sleep. He wanted to watch TV. He thought Mommy was mean and unfair. He stomped his feet and cried. Mommy hugged him and said, ""I know you are upset, Tommy, but I love you and I want you to be healthy and happy. TV is fun, but it is not the most important thing. You need to rest and dream and grow. Tomorrow you will have a new day with lots of things to do and see. Now, can you be a good boy and do what I say?"" Tommy sniffed and nodded. He knew Mommy loved him and wanted the best for him. He said sorry and gave her a kiss. He brushed his teeth and put on his pajamas. He went to bed and Mommy read him a story. He felt calm and sleepy. He closed his eyes and dreamed of animals and cars. The moral value of the story is: obey your parents and respect their rules, they know what is good for you. TV is not the most important thing in life, you need to balance it with other activities and rest.","Tommy wanted to watch TV after dinner. He liked the color of the TV and the loud sound of the kitchen. He was so happy. But then he saw a big box. It was dark and Tommy could not see. He wanted to get closer. He asked his mom, ""Mom, can I get the TV?"" His mom said, ""Yes, Tommy. You can come in and see the TV. It is dark."" Tommy was scared. He did not want to see the TV. He wanted to play with his toys. He saw his friend, a boy named Timmy. Timmy said, ""Tommy, can I play with your toys?"" Tommy said, ""Yes, Tommy. You can play with them."" They played with the toys and had lots of fun. After dinner, Tommy's mom came back with the TV. She said, ""Tommy, look at my TV. It is dark. Can I go see it?"" Tommy said, ""Yes, Mom. You can go in and see the TV. It is dark. Can you play with it?"" His mom smiled and said, ""Yes, Tommy. You can play with it. It is dark."" Tommy was happy. He played with the TV all day. He had",0.06625025395813383,6.896024227142334,0.67534816,0.5862793,0.62766963,0.41955193482688397,0.11860940695296524,0.2240325865580448
6,"Ben and Mia are twins. They like to play in the kitchen. They have many toys in a big cabinet. One day, they find something weird in the cabinet. ""Look, Ben, what is this?"" Mia asks. She holds a shiny thing with many buttons. ""I don't know, Mia. It looks like a phone, but it is very big and heavy,"" Ben says. He tries to press a button, but nothing happens. ""Maybe it is a toy phone for grown-ups,"" Mia says. ""Let's pretend we are talking to someone."" ""Okay, Mia. Who do you want to talk to?"" Ben asks. ""I want to talk to Grandma. She is very nice and she always gives us cookies,"" Mia says. She puts the shiny thing to her ear and says, ""Hello, Grandma, this is Mia. How are you?"" Ben puts the shiny thing to his other ear and says, ""Hello, Grandma, this is Ben. We miss you very much."" They talk to the shiny thing for a while. They tell Grandma about their toys, their dog, and their favorite colors. They laugh and have fun. But they don't know that the shiny thing is not a toy phone. It is a radio that their dad uses for work. And their dad is listening to their conversation from his car. He smiles and says, ""Hello, Ben and Mia, this is Dad. I hear you are having a good time with Grandma. I love you very much and I will be home soon."" Ben and Mia are surprised and happy. They say, ""Hello, Dad, we love you too. We found your radio in the cabinet. It is very weird, but we like it."" Dad laughs and says, ""I'm glad you like it, but please be careful with it. It is not a toy. It is very important for my job. I will explain it to you when I get home."" Ben and Mia say, ""Okay, Dad, we will. Bye-bye."" They put the radio back in the cabinet. They hug each other and say, ""That was fun. We talked to Grandma and Dad. They are the best."" They go to play with their other toys. They are very happy.","Ben and Mia are twins. They like to play in the kitchen. One day, they see a strange cabinet. They want to know what is inside. They look and look. They look at each other. Then, they see a big box. They want to see what is inside. They open the box. Inside, there are many things. They see toys, books, and books. They have fun. But then, something unexpected happens. A big, scary monster comes. It is not a monster at all. It is a big, scary monster. The monster has a secret. It wants to make Ben and Mia happy. The monster says, ""Please, Ben, stay away from the cabinet. I can't do anything. It is dangerous."" Ben and Mia feel sad. They know the monster is not good. They ask the monster to be nice. The monster says, ""Be nice to me. I will make you happy."" They hug and hug. They feel happy. They go back to the cabinet and the scary monster. They talk to each other. The monster makes a big smile on their face. The monster says, ""You are very nice. You are a good friend. I will make you happy again."" They laugh and play together.",0.07117133380660944,6.896024227142334,0.69359696,0.62408954,0.65700996,0.45993031358885017,0.17132867132867133,0.24041811846689898
7,"Ben liked to play with his toy cars. He had many cars of different colors and sizes. He liked to make them zoom and crash on the floor. He did not like to put them away when he was done. He left them all over his room. His room was very messy. One day, his mom told him that his aunt and cousin were coming to visit. They were coming in the fall season, when the leaves were red and yellow. Ben liked the fall season, because he could jump in the piles of leaves. He was excited to see his aunt and cousin. His mom told him to clean his room before they arrived. She said they would not like to see his messy room. Ben did not listen. He said he was too busy playing with his cars. He said he would clean his room later. His mom was not happy, but she had to go to the store. When his mom was gone, Ben heard a knock on the door. He ran to open it. He saw his aunt and cousin standing there. They had arrived early. Ben was happy to see them. He hugged them and invited them in. He took them to his room to show them his cars. But when he opened the door, he saw his messy room. He saw his cars all over the floor. He saw his clothes and books and toys everywhere. He felt very embarrassed. His aunt and cousin looked at his room. They looked at him. They did not smile. They did not say anything. They turned around and left. Ben felt very sad. He wished he had cleaned his room. He wished he had listened to his mom. He learned a hard lesson.","Ben liked to play with his toy cars. He had a big car with a big red roof. He liked to drive the car all day long. One day, he wanted to have a new car. He drove the car all day long. He put on the red roof and the red roof went up. He was very happy. Suddenly, the car started to shake and he hurt his knee. He fell down and his knee hurt. He couldn't move his knee anymore. He was sad. His mom came to help him. She said, ""Ben, you should not play with your cars. They are messy."" Ben didn't understand why his knee hurt. He asked his mom, ""Mom, can I help you?"" His mom smiled and said, ""Of course, Ben. Let's clean up the mess."" They cleaned up the car and put it in the car. Ben was so happy. He drove the car all day long. He loved his new car. He played with it all day long. He was happy too. And he was happy. He was proud of his new car. The end. The end. The end. The end. The end. The end. The end. Ben learned that sometimes, he can be a good driver,",0.05896838908231672,6.896024227142334,0.6151342,0.6073661,0.6112254,0.42687747035573115,0.10714285714285714,0.24901185770750991
8,"One day, a large cardboard box showed up at the children's door. The children were excited to see it and they looked inside. There was nothing in the box, but it still seemed to welcome them. They wondered what it was for and where it came from. The children thought about the box all day and what could be in it. That night, as they were about to go to bed, a surprise happened. They heard a knock on the door and when they opened it, a puppy came running in and went inside the box. The children were so happy! They quickly realized the box was just the right size for the puppy to sleep in. It was like the box was meant for the puppy. Everyone welcomed the puppy with lots of love. From that day on, the box was known as ""the puppy's home"".","One day, a large cardboard box showed up at the door. It was a big box with many toys inside. The box was very happy. It wanted to play with the toys. The box had a big smile on its face. Inside the box, there was a big paper. The paper was very soft and shiny. The box was happy. It wanted to play with the toys. The box said hello to the toys. The toys were happy too. They played with the paper and the paper. The box was happy. The box was happy too. The toys were happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too. The box was happy too.",0.06424614545492564,5.234025955200195,0.5956421,0.5728779,0.58403826,0.3178082191780823,0.1212121212121212,0.25753424657534246
9,"Once upon a time, there was a little girl named Lily. She loved to swing on the playground. One day, Lily went to the park with her mom. It was a gloomy day, and the sky was gray. Lily saw her best friend, Timmy, at the park. They ran to the swings together. But when they got there, they saw that someone had eaten all the candy bars that were left on the swings. Lily and Timmy were sad because they wanted to eat the candy bars. Suddenly, they heard a voice behind them. It was Lily's mom! She had brought some candy bars for them to eat. Lily and Timmy were so happy! They ate the candy bars and swung on the swings until it was time to go home. From then on, they always made sure to check the swings for candy before they started swinging.","Once upon a time, there was a little girl named Lily. She loved to swing on the swing and watch the clouds go by. One day, Lily's mom told her that the sun was getting dark and that the clouds were getting dark. Lily was sad because she was going to get a new swing. But then, her mom said, ""Lily, it's time to go home now. You need to rest and eat some cookies."" Lily didn't want to wait for her swing to go home, so she asked her mom to help her. Her mom said, ""I can help you with the cookies, Lily. They taste good."" Lily was happy and said, ""Thank you, Mommy!"" From that day on, Lily learned that sometimes things are not good when we don't listen to our parents. She learned that sometimes things can be good and sometimes things can be bad. From that day on, Lily always listened to her mom and kept playing on the swing. She knew that sometimes things can be good and sometimes things can be bad. From that day on, Lily was always careful not to listen to her mom and always listened to her. She knew that sometimes things can be good and sometimes things can be bad. And from that day on,",0.10953713627124188,5.234025955200195,0.6012645,0.6559294,0.6274085,0.4324324324324324,0.1576086956521739,0.254054054054054
